R0,E,I,R,q5,q10,q25,q50,q75,q90,q95,
0.807106821797788,408,46,354571,212.95,227,247,289,338,396.1,438.15,
0.786044536717236,14,64,949679,71,79.9,96,122,154,191.1,214.05,
0.477859449759126,458,410,708247,95.95,101,110,124,141,157,172,
0.300612718425691,43,265,212801,57,60,67,77,89.25,104,114,
0.453052779473364,494,250,5037,103,108,118,132,149,167,179.05,
0.598763354308903,191,110,45866,112,120,133,153,178,208,225.05,
0.172808946296573,499,498,591874,66,68.9,74,81,90,101,109.05,
0.808921624906361,160,313,89470,235,253,292,341,404,482.1,526.05,
0.51939421184361,43,495,810027,85,90,99,112,131,151,161.05,
0.425759382359684,127,425,940712,77,80,88,99,114,129,142.05,
0.456816868856549,71,485,654291,79,84,92,103,119,135,145.05,
